data, data_label, scraper, session_id, timestamp, url
"Mathematics for the Adventurous Self-Learner","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:40.799475","https://news.ycombinator.com/",
"Pwn.college","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:40.920471","https://news.ycombinator.com/",
"Jailed Just-in-Time Compilation on iOS","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.036467","https://news.ycombinator.com/",
"Which of these Amazon Prime purchases are real?","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.100484","https://news.ycombinator.com/",
"Year Without a Summer","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.165469","https://news.ycombinator.com/",
"Routed Gothic Font","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.219469","https://news.ycombinator.com/",
"Guide to running Elasticsearch in production","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.278469","https://news.ycombinator.com/",
"Famicom Party: Making NES Games in Assembly","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.340474","https://news.ycombinator.com/",
"Show HN: Search code in GitHub repos using regular expressions","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.396469","https://news.ycombinator.com/",
"Nim Community Survey 2019 Results","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.448477","https://news.ycombinator.com/",
"The Original Sin of Software Metrics (2014)","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.516467","https://news.ycombinator.com/",
"Hybrid Bank Account","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.570472","https://news.ycombinator.com/",
"Daily Life with the Offline Laptop","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.635467","https://news.ycombinator.com/",
"Why does WebAssembly need the relooper algorithm, instead of gotos? (2019)","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.705471","https://news.ycombinator.com/",
"Prepared statements and their surprising performance implications","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.769477","https://news.ycombinator.com/",
"Go-flavored Pascal: A small embeddable self-hosting Pascal compiler for Windows","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.828469","https://news.ycombinator.com/",
"The Dever Ransomware Experience","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.892471","https://news.ycombinator.com/",
"Show HN: LinkedIn for Chatbots","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:41.970469","https://news.ycombinator.com/",
"Double Slit Experiment and Bayes (2019)","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.092475","https://news.ycombinator.com/",
"The BBC’s attempt to build a Netflix-style service was snuffed by regulation","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.189472","https://news.ycombinator.com/",
"The Newton Application Architecture (1994) [pdf]","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.290473","https://news.ycombinator.com/",
"Paper Clay Air Humidifier","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.370473","https://news.ycombinator.com/",
"Myst: the Drawbacks to Success","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.447473","https://news.ycombinator.com/",
"I built a DIY license plate reader with a Raspberry Pi and machine learning","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.525471","https://news.ycombinator.com/",
"Holes in Bayesian Statistics","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.633483","https://news.ycombinator.com/",
"Modern Data Lakes Overview","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.723468","https://news.ycombinator.com/",
"Internet in a Box","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.792471","https://news.ycombinator.com/",
"I've Just Launched “Pwned Passwords” V2","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.859483","https://news.ycombinator.com/",
"What makes code “Swifty”?","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.930470","https://news.ycombinator.com/",
"Haven: turn old Android phones into security cameras","Post Title","<HackerNews1(Thread-245, started daemon 7700)>","15","2020-02-24 05:27:42.995469","https://news.ycombinator.com/",
